ImageName,Image Id,Discription,,Breed,Gender,age ,size,type
n02085936_5068,153,"I would like to arrange a playdate for my female small size Maltese puppy it is very playful,active ,energetic and have a good behaviour with other pets and behave well with strangers love to go for walks. we live in kalutara.small white puppy walking on a green grass ground.",,Maltese,female,puppy,small,playdate
n02085936_5103,154,"I want  to arrange a playdate partner for my male small size  Maltese puppy. it is very playful,active ,energetic and have a good behaviour with other pets and behave well with strangers love to go for walks. we live in galle.small white dog standing surrounding with small toys .",,Maltese,male,puppy,small,playdate
n02085936_5107,155,"I want to find a matching playdate partner for my dog I have a female small size  Maltese puppy it is very playful,active and have a good behaviour with other pets behave well with strangers love to play outside we live near kegalle.white puppy standing on a brown tiled floor.",,Maltese,female,puppy,small,playdate
n02085936_5250,156,"My dog is a female small size  Maltese puppy I want to arrange a playdate for my puppy it is very playful ,friendly and adapt well with other pets and also polite with strangers love to play outside and like go for a walk. we live near kalutara.small white dog with a pink pendent siting on a bed.",,Maltese,female,puppy,small,playdate
n02085936_5404,157,I have a male medium size adult Maltese dog I want to arange a crossing  partner for my dog it is very playful and mix well with other pets and also have a good behaviour around strangers love to play outside we live near colombo.,,Maltese,male,adult,medium,crossing
n02085936_5435,158,"I want a to arrange a playdate for my small size female  Malteese puppy,playful,friendly who love to play outdoor and very found of athletic and also love doing exercises and it is very polite with other pets and with other people.we live near ampara.small white puppy sleeping on a sofa.",,Maltese,female,puppy,small,playdate
n02085936_5459,159,I have a male small Maltese puppy I want to arange a playdate  partner for my dog it is very playful and mix well with other pets and also have a good behaviour around strangers love to play outside we live near galle.small white puppy with a yellow bow siting on a white tiled floor.,,Maltese,male,puppy,small,playdate
n02085936_5466,160,I have a female medium size adult   Maltese dog I want to arange a crossing partner for my dog it is very playful and mix well with other pets and also have a good behaviour around strangers love to play outside we live near anuradhapura.white dog standing near a man.,,Maltese,female,adult,medium,crossing
n02085936_5488,161,I have a female small size  Maltese puppy I want to arrange a playdate partner for my pet it is very playful and have a good behaviour with other pets behave well with strangers love to play outside we live near kalutara.love to go for small walk.white dog playing with a stick.,,Maltese,female,puppy,small,playdate
n02085936_5545,162,"I want to find a matching playdate partner for my dog I have a male small size  Maltese puppy it is very playful,active and have a good behaviour with other pets behave well with strangers love to play outside we live near matara.small white  puppy siting on a red  floor.",,Maltese,male,puppy,small,playdate
n02085936_5582,163,"My dog is a female small size  Maltese puppy I want to arrange a playdate for my puppy it is very playful ,friendly and adapt well with other pets and also polite with strangers love to play outside and like go for a walk. we live near kegalle.white puppy wearing a pink t shirt standing with two legs .",,Maltese,female,puppy,small,playdate
n02085936_5596,164,I have a male medium size adult Maltese dog I want to arange a crossing  partner for my dog it is very playful and mix well with other pets and also have a good behaviour around strangers love to play outside we live near gampaha.white dog wearing a pink shirt standing on a brown floor.,,Maltese,male,adult,medium,crossing
n02085936_5609,165,I have a female small size  Maltese puppy I want to arange a playdate partner for my dog it is very playful and mix well with other pets and also have a good behaviour around strangers love to play outside we live near kalutara.small white dog holding by a girl.,,Maltese,female,puppy,small,playdate
n02085936_5645,166,I have a male small size  Maltese puppy I want to arrange a playdate partner for my pet it is very playful and have a good behaviour with other pets behave well with strangers love to play outside we live near kurunegala.love to go for small walk.white puppy resting on a couch.,,Maltese,male,puppy,small,playdate
n02085936_5766,167,I want to find a playdate partner for my dog I have a female small size Maltese puppy it is very playful and have a good behaviour with other pets behave well with strangers love to play outside we live near kandy.small white dog standing on a bed.,,Maltese,female,puppy,small,playdate
n02085936_5789,168,I would like to arrange a playdate partner for my male  medium size   adult Maltese dog it is very playful and have a good behaviour with other pets and behave well with strangers love to play outside we live near colombo.white dog wearing a purpule shirt standing near a door.,,Maltese,male,adult,medium,playdate
n02085936_6071,169,I have a female small size  Maltese puppy I want to arrange a playdate partner for my pet dog it is very playful and adapt well with other pets behave well with strangers love to play outside we live near nuwara-eliya.small white dog siting on a black sofa.,,Maltese,female,puppy,small,playdate
n02085936_6077,170,"My dog is a male small Maltese puppy I want to arrange a playdate for my puppy it is very playful ,friendly and have a good behaviour with other pets and also behave well with strangers love to play outside.love to go for small walks. we live near  polonnaruwa.",,Maltese,male,puppy,small,playdate
n02085936_6278,171,"I would like to arrange a playdate for my male small size Maltese puppy it is very playful,active ,energetic and have a good behaviour with other pets and behave well with strangers love to go for walks. we live in kandy.small white puppy standing near a cream color sofa.",,Maltese,male,puppy,small,playdate
n02085936_6348,172,"I want  to arrange a playdate partner for my female small size  Maltese puppy. it is very playful,active ,energetic and have a good behaviour with other pets and behave well with strangers love to go for walks. we live in galle.small white dog sitting on a brown sofa .",,Maltese,female,puppy,small,playdate
n02085936_6405,173,"I want to find a matching playdate partner for my dog I have a male small size  Maltese puppy it is very playful,active and have a good behaviour with other pets behave well with strangers love to play outside we live near kegalle.white puppy with a flower crown siting on a green blancket.",,Maltese,male,puppy,small,playdate
n02085936_6424,174,"My dog is a female medium size adult Maltese dog I want to arrange a crossing partner for my puppy it is very playful ,friendly and adapt well with other pets and also polite with strangers love to play outside and like go for a walk. we live near kalutara.white dog standing near a green grass ground.",,Maltese,female,adult,medium,crossing
n02085936_6464,175,I have a male small Maltese puppy I want to arange a playdate  partner for my dog it is very playful and mix well with other pets and also have a good behaviour around strangers love to play outside we live near galle.a white small dog standing on a green grass ground.,,Maltese,male,puppy,small,playdate
n02085936_6514,176,I have a female small size Maltese puppy I want to arange a playdate  partner for my dog it is very playful and mix well with other pets and also have a good behaviour around strangers love to play outside we liv.small white puppy siting on a sand floor.,,Maltese,female,puppy,small,playdate
n02085936_6569,177,I have a male medium size adult Maltese dog I want to arrange a crossing partner for my pet it is very playful and have a good behaviour with other pets behave well with strangers love to play outside we live near kurunegala.love to go for small walk.white dog siting in a vehicle.,,Maltese,male,adult,medium,crossing
n02085936_6650,178,I want to find a playdate partner for my dog I have a female small size  Maltese puppy. it is very playful and have a good behaviour with other pets behave well with strangers love to play outside we live near kalutara.small puppy with a red pendant siting on a white floor.,,Maltese,female,puppy,small,playdate
n02085936_6656,179,I would like to arrange a playdate partner for my male  small size  Maltese puppy it is very playful and have a good behaviour with other pets and behave well with strangers love to play outside we live near matara.small white puppy siting on a table.,,Maltese,male,puppy,small,playdate
n02085936_6671,180,I have a female small size  Maltese puppy I want to arrange a playdate for my pet it is very playful and have a good behaviour with other pets behave well with strangers love to play outside we live near kegalle.small whitte puppy siting on a black sofa.,,Maltese,female,puppy,small,playdate
n02085936_6746,181,"My dog is a male medium size adult Maltese dog I want to arrange a crossing partner for my dog it is very playful ,friendly and have a good behaviour with other pets and also behave well with strangers love to play outside.love to go for small walks. we live near gampha.white puppy .white puppy laying on a floor.",,Maltese,male,adult,medium,crossing
n02085936_6892,182,"I have a female small size  Maltese puppy I want to arange a playdate partner for my dog it is very playful ,friendly and have a good behaviour with other pets and also behave well with strangers love to play outside .we live near kandy.",,Maltese,female,puppy,small,playdate
n02085936_6921,183,"I would like to arrange a playdate for my male small size Maltese puppy it is very playful,active ,energetic and have a good behaviour with other pets and behave well with strangers love to go for walks. we live in galle.small  white dog siting near a stool.",,Maltese,male,puppy,small,playdate
n02085936_6927,184,"I want to find a matching playdate partner for my dog I have a female small size puppy Maltese dog it is very playful,active and have a good behaviour with other pets behave well with strangers love to play outside we live near baticola.small white puppy standing near a bush.",,Maltese,female,puppy,small,playdate
n02085936_6942,185,"My dog is a male medium size adult Maltese dog I want to arrange a playdate for my puppy it is very playful ,friendly and adapt well with other pets and also polite with strangers love to play outside and like go for a walk. we live near matara.chained white dog siting on a concrete floor.",,Maltese,male,adult,medium,playdate
n02085936_7004,186,I have a female medium size adult Maltese dog I want to arange a crossing  partner for my dog it is very playful and mix well with other pets and also have a good behaviour around strangers love to play outside we live near galle.white dog siting near a fence.,,Maltese,female,adult,medium,crossing
n02085936_7142,187,I have a male small  Maltese puppy I want to arange a playdate partner for my dog it is very playful and mix well with other pets and also have a good behaviour around strangers love to play outside we live near kandy.small white puppy white standing on a brown tiled floor.,,Maltese,male,puppy,small,playdate
n02085936_7172,188,I have a female medium size adult  Maltese dog I want to arrange a crossing partner for my pet it is very playful and have a good behaviour with other pets behave well with strangers love to play outside we live near matar.love to go for small walk.white color dog with apink gown resting on a bed.,,Maltese,female,adult,medium,crossing
n02085936_7198,189,I want to find a playdate partner for my dog I have a male small size  Maltese puppy it is very playful and have a good behaviour with other pets behave well with strangers love to play outside we live near polonnaruwa.small white puppy siting on a red chair.,,Maltese,male,puppy,small,playdate
n02085936_7272,190,I would like to arrange a playdate partner for my female  small size  Maltese puppy it is very playful and have a good behaviour with other pets and behave well with strangers love to play outside we live near kalutara.white small dog siting on a brown floor.,,Maltese,female,puppy,small,playdate
n02085936_7311,191,I have a male small size  Maltese puppy I want to arrange a playdate for my pet it is very playful and adapt well with other pets behave well with strangers love to play outside we live near kandy.white smallyawnig puppy siting on a chair.,,Maltese,male,puppy,small,playdate
n02085936_7345,192,"My dog is a female small Maltese puppy I want to arrange a playdate for my puppy it is very playful ,friendly and have a good behaviour with other pets and also behave well with strangers love to play outside.love to go for small walks. we live near hambanthota.white puppy resting on a white chair.",,Maltese,female,puppy,small,playdate
n02085936_7364,193,"I would like to arrange a crossing partner  for my male medium size  adult Maltese dog it is very playful,active ,energetic and have a good behaviour with other pets and behave well with strangers love to go for walks. we live in gampaha.white dog with a orange collor resting on a bed.",,Maltese,male,adult,medium,crossing
n02085936_7394,194,"I want  to arrange a playdate partner for my male small size  Maltese puppy. it is very playful,active ,energetic and have a good behaviour with other pets and behave well with strangers love to go for walks. we live in matale .",,Maltese,male,puppy,small,playdate
n02085936_7442,195,"I want to find a matching playdate partner for my dog I have a female small size  Maltese puppy it is very playful,active and have a good behaviour with other pets behave well with strangers love to play outside we live near nuwara-eliya.white dog stand on on a green grass ground.",,Maltese,female,puppy,small,playdate
n02085936_7465,196,"My dog is a female small size  Maltese puppy I want to arrange a playdate for my puppy it is very playful ,friendly and adapt well with other pets and also polite with strangers love to play outside and like go for a walk. we live near jaffna.white dog siting on a green grass ground.",,Maltese,male,puppy,small,playdate
n02085936_7515,197,I have a male small Maltese puppy I want to arange a playdate  partner for my dog it is very playful and mix well with other pets and also have a good behaviour around strangers love to play outside we live near puttalam.,,Maltese,male,puppy,small,playdate
n02085936_7537,198,I have a male medium size adult Maltese dog I want to arange a crossing  partner for my dog it is very playful and mix well with other pets and also have a good behaviour around strangers love to play outside.love to go for small walks we live near colombo.white dog standing on a pink stool.,,Maltese,male,adult,medium,crossing
n02085936_7941,199,I have a female medium size adult  Maltese dog I want to arrange a playdate for my pet it is very playful and have a good behaviour with other pets behave well with strangers love to play outside we live near matara.love to go for small walk.white dog with a orange color t shirt laying on a brown sofa.,,Maltese,female,adult,medium,playdate
n02085936_7755,200,I want to find a playdate partner for my dog I have a female small   Maltese puppy it is very playful and adapt well with other pets behave well with strangers love to play outside we live near ampara.white puppy siting on a green grass ground.,,Maltese,female,puppy,small,playdate
n02085936_7793,201,I would like to arrange a playdate partner for my male  small size   Maltese puppy. it is very playful and have a good behaviour with other pets and behave well with strangers love to play outside we live near kurunegala.white dog siting on a white bed,,Maltese,male,puppy,small,playdate
n02085936_8089,202,I have a female medium size adult  Maltese dog I want to arrange a crossing partner for my pet it is very playful and have a good behaviour with other pets behave well with strangers love to play outside we live near gampaha.white dog siting on a green grass ground.,,Maltese,female,adult,medium,crossing
n02085936_8224,203,I have a male small size  Maltese puppy I want to arrange a playdate for my pet it is very playful and have a good behaviour with other pets behave well with strangers love to play outside we live near colombo.small white puppy sleeping on a white blancket.,,Maltese,male,puppy,small,playdate
n02085936_8248,204,I have a female medium size  adult Maltese dog I want to arrange a crossing for my pet it is very playful and have a good behaviour with other pets behave well with strangers love to play outside we live near mannar.,,Maltese,female,adult,medium,crossing
n02085936_8350,205,I want to find a play date partner for my dog I have a female small  Maltese puppy it is very playful and have a good behaviour with other pets behave well with strangers love to play outside we live near matara.small puppy siting on a white floor.,,Maltese,female,puppy,small,playdate
n02085936_8365,206,I would like to arrange a playdate partner for my male small size  Maltese puppy it is very playful and have a good behaviour with other pets and behave well with strangers love to play outside we live near puttalam.white dog waering a red t shirt sitting near a wall.,,Maltese,male,puppy,small,playdate
n02085936_8417,207,I have a male small size  Maltese puppy I want to arrange a playdate for my pet it is very playful and have a good behaviour with other pets behave well with strangers love to play outside we live near galle.,,Maltese,male,puppy,small,playdate
n02085936_8447,208,"My dog is a female medium size adult Maltese dog I want to arrange a playdate for my puppy it is very playful ,friendly and have a good behaviour with other pets and also behave well with strangers love to play outside we live near gampha.white dog siting on a brown floor.",,Maltese,female,adult,medium,playdate
n02085936_8449,209,"I have a female small  Maltese puppy I want to arange a playdate partner for my dog it is very playful ,friendly and have a good behaviour with other pets and also behave well with strangers love to play outside we live near kandy.",,Maltese,female,puppy,small,playdate
n02085936_8507,210,"I would like to arrange a playdate for my male small size Maltese puppy it is very playful,active and have a good behaviour with other pets and behave well with strangers love go for walks. we live in baticola.small white puppy sleeping on a white sofa.",,Maltese,male,puppy,small,playdate
n02085936_8616,211,"I want to find a matching crossing partner for my dog I have a female medium size adult Maltese dog it is very playful,active and have a good behaviour with other pets behave well with strangers love to play outside we live near anuradhapura.",,Maltese,female,adult,medium,crossing
n02085936_8658,212,"My dog is a male small size Maltese puppy I want to arrange a playdate for my puppy it is very playful ,friendly and adapt well with other pets and also polite with strangers love to play outside and like go for a walk. we live near gampha.white puppy holding by a girl.",,Maltese,male,puppy,small,playdate
n02085936_8735,213,I have a male medium adult Maltese dog I want to arange a crossing  partner for my dog it is very playful and mix well with other pets and also have a good behaviour around strangers love to play outside we live near kurunegala.white dog siting on a blue sofa,,Maltese,male,adult,medium,crossing
n02085936_8756,214,I have a male small size   Maltese pupppy I want to arrange a playdate for my pet it is very playful and have a good behaviour with other pets behave well with strangers love to play outside we live near monaragala.love to go for small walk.small white puppy standing on a white floor.,,Maltese,male,puppy,small,playdate
n02085936_8767,215,I want to find a playdate partner for my dog I have a female small size  Maltese puppy it is very playful and have a good behaviour with other pets behave well with strangers love to play outside we live near matara.small white puppy siting on a white floor.,,Maltese,female,puppy,small,playdate
n02085936_8867,216,I would like to arrange a playdate parttner for my male  small size  Maltese puppy it is very playful and have a good behaviour with other pets and behave well with strangers love to play outside we live near kandy.chained white puppy standing on a green grass ground.,,Maltese,male,puppy,small,playdate
n02085936_8900,217,I have a male small size  Maltese puppy I want to arrange a playdate for my pet it is very playful and have a good behaviour with other pets behave well with strangers love to play outside we live near kegalle.small white puppy wearing a green jacket holding by a girl.,,Maltese,male,puppy,small,playdate
n02085936_9037,218,"My dog is a female small Maltese puppy I want to arrange a playdate for my puppy it is very playful ,friendly and have a good behaviour with other pets and also behave well with strangers love to play outside.love to go for small walks. we live near anuradhapura.white puppy siting on a brown tiled floor.",,Maltese,female,puppy,small,playdate
n02085936_8981,219,"I have a male medium size adult Maltese dog I want to arange a crossing partner for my dog it is very playful ,friendly and have a good behaviour with other pets and also behave well with strangers love to play outside .we live near nuwara-eliya.white dog laying on a bed.",,Maltese,male,adult,medium,crossing
n02085936_9086,220,"I would like to arrange a playdate for my female small size Maltese puppy it is very playful,active ,energetic and have a good behaviour with other pets and behave well with strangers love to go for walks. we live in matale.small white puppy wearing a black shirt siting on a man's lap.",,Maltese,female,puppy,small,playdate
n02085936_9088,221,"I want to find a matching playdate partner for my dog I have a male small size  Maltese puppy it is very playful,active and have a good behaviour with other pets behave well with strangers love to play outside we live near colombo.small white puppy siting on a cousion..",,Maltese,male,puppy,small,playdate
n02085936_9136,222,"My dog is a male medium size adult Maltese dog I want to arrange a crossing for my puppy it is very playful ,friendly and adapt well with other pets and also polite with strangers love to play outside and like go for a walk. we live near rathnapura.white dog siting on a sofa.",,Maltese,male,adult,medium,crossing
n02085936_9141,223,I have a female small Maltese puppy I want to arange a playdate  partner for my dog it is very playful and mix well with other pets and also have a good behaviour around strangers love to play outside we live near gampaha.small white puppy with a blue cap siting on a sofa.,,Maltese,female,puppy,small,playdate
n02085936_9270,224,I have a male small  Maltese puppy I want to arange a playdate partner for my dog it is very playful and mix well with other pets and also have a good behaviour around strangers love to play outside we live near kurunegala.small white puppy sitting on a green grass sround,,Maltese,male,puppy,small,playdate
n02085936_9310,225,I have a female medium size adult  Maltese dog I want to arrange a crossing partner for my pet it is very playful and have a good behaviour with other pets behave well with strangers love to play outside we live near galle.love to go for small walk.white dog siting on a.,,Maltese,female,adult,medium,crossing
n02085936_9367,226,I want to find a playdate partner for my dog I have a male medium size adult Maltese dog it is very playful and have a good behaviour with other pets behave well with strangers love to play outside we live near mannar.white smallpuppy holding by a man.,,Maltese,male,adult,medium,playdate
n02085936_9481,227,I would like to arrange a playdate partner for my female  small size  Maltese puppy it is very playful and have a good behaviour with other pets and behave well with strangers love to play outside we live near rathnapura.cream color puppy holding by a woman.,,Maltese,female,puppy,small,playdate
n02085936_9590,228,I have a male small size  Maltese puppy I want to arrange a playdate for my pet it is very playful and adapt well with other pets behave well with strangers love to play outside we live near kurunegala.white puppy standin on a green grass ground.,,Maltese,male,puppy,small,playdate
n02085936_9742,229,"My dog is a female small Maltese puppy I want to arrange a playdate for my puppy it is very playful ,friendly and have a good behaviour with other pets and also behave well with strangers love to play outside.love to go for small walks. we live near  matara.white puppy siting on a floor.",,Maltese,female,puppy,small,playdate
n02085936_9812,230,"I would like to arrange a playdate for my male small size Maltese puppy it is very playful,active ,energetic and have a good behaviour with other pets and behave well with strangers love to go for walks. we live in kalutara.small puppy wearing  a orange color dress.",,Maltese,male,puppy,small,playdate
n02085936_9927,231,"I want  to arrange a crossing partner for my female medium size adult Maltese dog. it is very playful,active ,energetic and have a good behaviour with other pets and behave well with strangers love to go for walks. we live in kalutara.white dog laying on a carpet.",,Maltese,female,adult,medium,crossing
n02085936_10073,232,"I want to find a matching playdate partner for my dog I have a male small size puppy Maltese dog it is very playful,active and have a good behaviour with other pets behave well with strangers love to play outside we live near hambanthota.small white dog siting on a white sofa.",,Maltese,male,puppy,small,playdate
n02085936_10130,233,"My dog is a female medium size adult Maltese dog I want to arrange a crossing for my puppy it is very playful ,friendly and adapt well with other pets and also polite with strangers love to play outside and like go for a walk. we live near matara.white dog sitingb on a floor near a white wall.",,Maltese,female,adult,medium,crossing
n02085936_10148,234,I have a male small Maltese puppy I want to arange a playdate  partner for my dog it is very playful and mix well with other pets and also have a good behaviour around strangers love to play outside we live near kalutara.small white dog siting near a white fence.,,Maltese,male,puppy,small,playdate
n02085936_10197,235,I have a female medium size adult Maltese dog I want to arange a crossing  partner for my dog it is very playful and mix well with other pets and also have a good behaviour around strangers love to play outside.love to go for small walks we live near galle.cream color dog laying ona bed.,,Maltese,female,adult,medium,crossing
n02085936_10199,236,I have a male small size   Maltese puppy I want to arrange a playdate for my pet it is very playful and have a good behaviour with other pets behave well with strangers love to play outside we live near gampaha.love to go for small walk.small white puppy siting on a floor.,,Maltese,male,puppy,small,playdate
n02085936_10273,237,I want to find a crossing partner for my dog I have a female medium size adult Maltese dog it is very playful and adapt well with other pets behave well with strangers love to play outside we live near polonnaruwa.white dog wearing a orange color scarf siting on a floor.,,Maltese,female,adult,medium,crossing
n02085936_10297,238,I would like to arrange a playdate partner for my female  medium size adult  Maltese dog. it is very playful and have a good behaviour with other pets and behave well with strangers love to play outside we live near colombo.cream color dog laying on a floor.,,Maltese,female,adult,medium,playdate
n02085936_10307,239,I have a male small size   Maltese puppy I want to arrange a playdate partner for my pet it is very playful and have a good behaviour with other pets behave well with strangers love to play outside we live near kilinocchi.white puppy siting on a pillow.,,Maltese,male,puppy,small,playdate
n02085936_10377,240,"My dog is a female medium size adult Maltese dog I want to arrange a crossing partner for my puppy it is very playful ,friendly and have a good behaviour with other pets and also behave well with strangers love to play outside.love to go for small walks. we live near matara.white dog with a red pendant standing on a brown floor.",,Maltese,female,adult,medium,crossing
n02085936_10397,241,"I have a male small size  Maltese puppy I want to arange a playdate partner for my dog it is very playful ,friendly and have a good behaviour with other pets and also behave well with strangers love to play outside .we live near mannar.small white dog siting on a bed.",,Maltese,male,puppy,small,playdate
n02085936_10447,242,"I would like to arrange a playdate for my female small size Maltese puppy it is very playful,active ,energetic and have a good behaviour with other pets and behave well with strangers love to go for walks. we live in kandy.white small  white puppy siting on a cousion.",,Maltese,female,puppy,small,playdate
n02085936_10625,243,"I want to find a matching playdate partner for my dog I have a male small size  Maltese puppy it is very playful,active and have a good behaviour with other pets behave well with strangers love to play outside we live near colombo.small white dog with a collor laying on the floor.",,Maltese,male,puppy,small,playdate
n02085936_10646,244,I would like to arrange a playdate partner for my female  small size adult  Maltese puppy. it is very playful and have a good behaviour with other pets and behave well with strangers love to play outside we live near polonnaruwa.small white puppy wearing a black t shirt standing on a white floor.,,Maltese,female,adult,small,playdate
n02085936_10661,245,I have a male small size adult  Maltese puppy I want to arrange a playdate partner for my pet it is very playful and have a good behaviour with other pets behave well with strangers love to play outside we live near kalutara.small white puppy wearing a black shirt siting on a bed.,,Maltese,male,puppy,small,playdate
n02085936_10719,246,"My dog is a female medium size adult Maltese dog I want to arrange a crossing for my puppy it is very playful ,friendly and have a good behaviour with other pets and also behave well with strangers love to play outside.love to go for small walks. we live near gampha.white dog siting on a pink blanket.",,Maltese,female,adult,medium,crossing
n02085936_11541,247,"I have a male small size  Maltese puppy want to arange a playdate partner for my dog it is very playful ,friendly and have a good behaviour with other pets and also behave well with strangers love to play outside .we live near matale.small white puppy wearing a red gown siting on a floor.",,Maltese,male,puppy,small,playdate
n02085936_11653,248,"I would like to arrange a playdate for my female small size Maltese puppy it is very playful,active ,energetic and have a good behaviour with other pets and behave well with strangers love to go for walks. we live in badulla.small white puppy carriyng a toy fish.",,Maltese,female,puppy,small,playdate
n02085936_11744,249,"I want to find a matching crossing partner for my dog I have a male medium size adult Maltese dog it is very playful,active and have a good behaviour with other pets behave well with strangers love to play outside we live near kalutara.white dog resting on a white carpert.",,Maltese,female,adult,medium,crossing
n02085936_13013,250,"My dog is a female medium size adult Maltese dog I want to arrange a crossing partner for my dog it is very playful ,friendly and adapt well with other pets and also polite with strangers love to play outside and like go for a walk. we live near kalutara.white dog siting on a chair.",,Maltese,male,puppy,small,playdate
n02085936_13378,251,I have a male small Maltese puppy I want to arange a playdate  partner for my dog it is very playful and mix well with other pets and also have a good behaviour around strangers love to play outside we live near galle.white puppy sting on a bed.,,Maltese,female,puppy,small,playdate
n02085936_13944,252,I have a female small size Maltese puppy I want to arange a playdate partner for my dog it is very playful and mix well with other pets and also have a good behaviour around strangers love to play outside we live near jaffna.small white dog wearing a purple shirt siting on a lady's lap.,,Maltese,male,puppy,small,playdate
n02085936_14432,253,I have a male small size  Maltese puppy I want to arrange a playdate partner for my pet it is very playful and have a good behaviour with other pets behave well with strangers love to play outside we live near jaffna.love to go for small walk.white puppy wearing a black hat,,Maltese,female,adult,medium,crossing
n02085936_14595,254,I want to find a crossing partner for my dog I have a female medium size adult Maltese dog it is very playful and have a good behaviour with other pets behave well with strangers love to play outside we live near kandy.white dog sleeping on a sofa.,,Maltese,female,adult,medium,crossing
n02085936_16014,255,I would like to arrange a playdate partner for my male small size  Maltese puppy it is very playful and have a good behaviour with other pets and behave well with strangers love to play outside we live near kurunegala.small white puppy sleeping on a blue cousion,,Maltese,male,puppy,small,playdate
n02085936_16355,256,I have a female medium size adult Maltese dog I want to arrange a crossing partner for my pet dogit is very playful and adapt well with other pets behave well with strangers love to play outside we live near gampha.white dog walking through a green grass ground.,,Maltese,female,adult,medium,crossing
n02085936_17059,257,"My dog is a male small Maltese puppy I want to arrange a playdate for my puppy it is very playful ,friendly and have a good behaviour with other pets and also behave well with strangers love to play outside.love to go for small walks. we live near  polonnaruwa.small white puppy siting on a table.",,Maltese,male,puppy,small,playdate
n02085936_17116,258,"I would like to arrange a playdate for my female small size Maltese puppy it is very playful,active ,energetic and have a good behaviour with other pets and behave well with strangers love to go for walks. we live in puttalam.small white puppy siting near a woman",,Maltese,female,puppy,small,playdate
n02085936_17631,259,"I want  to arrange a playdate partner for my female small size Maltese puppy. it is very playful,active ,energetic and have a good behaviour with other pets and behave well with strangers love to go for walks. we live in matale.small white puppy siting on a white floor.",,Maltese,female,puppy,small,playdate
n02085936_17990,260,"I want to find a matching playdate partner for my dog I have a male small size  Maltese puppy it is very playful,active and have a good behaviour with other pets behave well with strangers love to play outside we live near kegalle.small white puppy holding by a woman.",,Maltese,male,puppy,small,playdate
n02085936_18640,261,"My dog is a female medium size adult Maltese dog I want to arrange a crossing for my dog it is very playful ,friendly and adapt well with other pets and also polite with strangers love to play outside and like go for a walk. we live near monaragala.white dog siting ona purpule couch.",,Maltese,female,adult,medium,crossing
n02085936_19133,262,I have a male small Maltese puppy I want to arange a playdate  partner for my dog it is very playful and mix well with other pets and also have a good behaviour around strangers love to play outside we live near anuradhapura.white small dog siting on a root of a tree.,,Maltese,male,puppy,small,playdate
n02085936_19558,263,I have a female small size Maltese puppy I want to arange a playdate  partner for my dog it is very playful and mix well with other pets and also have a good behaviour around strangers love to play outside we live near kegalle.small white puppy standing on a black floor.,,Maltese,female,puppy,small,playdate
n02085936_19731,264,I have a male small size  Maltese puppy I want to arrange a playdate partner for my pet it is very playful and have a good behaviour with other pets behave well with strangers love to play outside we live near matale.love to go for small walk.small white puppy siting on a white floor.,,Maltese,male,puppy,small,playdate
n02085936_19805,265,I want to find a playdate partner for my dog I have a female small size  Maltese puppy it is very playful and have a good behaviour with other pets behave well with strangers love to play outside we live near galle.small white puppy wearing a red t shirt.,,Maltese,female,puppy,small,playdate
n02085936_20076,266,I would like to arrange a playdate partner for my male  small size  Maltese puppy it is very playful and have a good behaviour with other pets and behave well with strangers love to play outside we live near jaffna.small white puppy laying on a bed.,,Maltese,male,puppy,small,playdate
n02085936_20102,267,I have a female small size  Maltese puppy I want to arrange a playdate for my pet it is very playful and have a good behaviour with other pets behave well with strangers love to play outside we live near colombo.small white puppy siting on a brown blanket.,,Maltese,female,puppy,small,playdate
n02085936_20313,268,"My dog is a male small Maltese puppy I want to arrange a playdate for my puppy it is very playful ,friendly and have a good behaviour with other pets and also behave well with strangers love to play outside.love to go for small walks. we live near gampha.",,Maltese,male,puppy,small,playdate
n02085936_20610,269,"I have a female medium size adult Maltese dog I want to arange a crossing partner for my dog it is very playful ,friendly and have a good behaviour with other pets and also behave well with strangers love to play outside .we live near polonnaruwa.white dog wearing a blue shirt siting on a white floor.",,Maltese,female,adult,medium,crossing
n02085936_22127,270,"I would like to arrange a playdate for my male small size Maltese puppy it is very playful,active ,energetic and have a good behaviour with other pets and behave well with strangers love to go for walks. we live in rathnapura.small white puppy with a blue shirt siting on a bed.",,Maltese,male,puppy,small,playdate
n02085936_22167,271,"I want to find a matching playdate partner for my dog I have a female small size puppy Maltese dog it is very playful,active and have a good behaviour with other pets behave well with strangers love to play outside we live near kalutara.small white puppy siting near a wall.",,Maltese,female,puppy,small,playdate
n02085936_22439,272,"My dog is a male medium size adult Maltese dog I want to arrange a crossing partner for my puppy it is very playful ,friendly and adapt well with other pets and also polite with strangers love to play outside and like go for a walk. we live near nuwara-eliya.white dog siting on a brown floor.",,Maltese,male,adult,medium,crossing
n02085936_22666,273,I have a female small size  Maltese puppy I want to arange a playdate partner for my dog it is very playful and mix well with other pets and also have a good behaviour around strangers love to play outside we live near colombo.white dog holding by a woman.,,Maltese,female,puppy,small,playdate
n02085936_24178,274,I have a male small  Maltese puppy I want to arange a playdate partner for my dog it is very playful and mix well with other pets and also have a good behaviour around strangers love to play outside we live near kegalle.small white puppy siting on a table.,,Maltese,male,puppy,small,playdate
